"Time","X"
0.0,250
0.05,231
0.1,233
0.15,252
0.2,256
0.25,270
0.3,282
0.35,270
0.4,252
0.45,260
0.5,251
0.55,264
0.6,271
0.65,260
0.7,250
0.75,244
0.8,233
0.85,229
0.9,229
0.95,223
1.0,231
1.05,233
1.1,228
1.15,225
1.2,227
1.25,223
1.3,216
1.35,211
1.4,228
1.45,208
1.5,216
1.55,220
1.6,202
1.65,197
1.7,202
1.75,210
1.8,226
1.85,246
1.9,247
1.95,238
2.0,217
2.05,208
2.1,205
2.15,195
2.2,202
2.25,211
2.3,213
2.35,196
2.4,185
2.45,208
2.5,193
2.55,190
2.6,198
2.65,195
2.7,201
2.75,212
2.8,208
2.85,208
2.9,201
2.95,177
3.0,176
3.05,173
3.1,154
3.15,146
3.2,136
3.25,133
3.3,137
3.35,133
3.4,131
3.45,114
3.5,113
3.55,107
3.6,111
3.65,125
3.7,120
3.75,114
3.8,117
3.85,114
3.9,110
3.95,99
4.0,103
4.05,99
4.1,91
4.15,92
4.2,93
4.25,98
4.3,99
4.35,107
4.4,109
4.45,113
4.5,111
4.55,102
4.6,96
4.65,97
4.7,98
4.75,94
4.8,96
4.85,88
4.9,83
4.95,83
5.0,83
