Time,X
0,250
0.05,260
0.1,276
0.15,274
0.2,267
0.25,270
0.3,271
0.35,272
0.4,270
0.45,277
0.5,282
0.55,285
0.6,286
0.65,291
0.7,276
0.75,270
0.8,268
0.85,254
0.9,242
0.95,244
1,245
1.05,229
1.1,234
1.15,236
1.2,239
1.25,240
1.3,244
1.35,230
1.4,242
1.45,240
1.5,236
1.55,243
1.6,247
1.65,232
1.7,235
1.75,237
1.8,230
1.85,231
1.9,251
1.95,255
2,242
2.05,240
2.1,243
2.15,260
2.2,263
2.25,245
2.3,234
2.35,247
2.4,257
2.45,264
2.5,259
2.55,257
2.6,246
2.65,250
2.7,248
2.75,256
2.8,252
2.85,243
2.9,239
2.95,235
3,238
3.05,249
3.1,246
3.15,243
3.2,251
3.25,256
3.3,246
3.35,255
3.4,242
3.45,229
3.5,226
3.55,227
3.6,227
3.65,227
3.7,215
3.75,219
3.8,208
3.85,219
3.9,208
3.95,193
4,193
4.05,202
4.1,182
4.15,185
4.2,177
4.25,181
4.3,170
4.35,174
4.4,166
4.45,156
4.5,160
4.55,165
4.6,157
4.65,150
4.7,163
4.75,158
4.8,154
4.85,146
4.9,144
4.95,142
5,150
