Time,R,L,RL,G,Ga,Gbg,Gd
0,500,4,110,300,2,20,90
0.333333,443,4,42,191,118,129,83
0.666666,393,4,37,160,163,160,69
0.999999,353,4,36,133,197,187,62
1.33333,322,4,31,115,227,205,50
1.66666,286,4,37,99,246,221,47
2,252,4,39,80,275,240,37
2.33333,226,4,39,71,290,249,31
2.66666,204,4,49,62,299,258,31
3,178,4,61,61,305,259,26
3.33333,157,4,60,40,324,280,28
3.66666,146,4,61,40,324,280,28
4,135,4,56,35,328,285,29
4.33333,122,4,62,33,322,287,37
4.66666,113,4,61,30,333,290,29
5,103,4,55,29,339,291,24
5.33333,89,4,63,32,344,288,16
