"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,445,4,40,181,124,139,87
0.666666,394,4,34,153,173,167,66
0.999999,367,4,29,133,204,187,55
1.33333,327,4,39,117,227,203,48
1.66666,287,4,46,100,253,220,39
2.0,255,4,49,88,277,232,27
2.33333,232,4,40,70,299,250,23
2.66666,202,4,47,52,310,268,30
3.0,170,4,56,42,324,278,26
3.33333,154,4,59,47,323,273,22
3.66666,147,4,54,43,327,277,22
4.0,130,4,53,38,333,282,21
4.33333,119,4,49,37,340,283,15
4.66666,100,4,54,30,347,290,15
5.0,93,4,54,25,350,295,17
5.33333,82,4,60,23,346,297,23
